"country";"variable";"percentile";"year";"value";"age";"pop"
"IT";"tptincj992";"p0p13";1900;"102.1";992;"j"
"IT";"tptincj992";"p0p13";1910;"108.8";992;"j"
"IT";"tptincj992";"p0p13";1920;"88.9";992;"j"
"IT";"tptincj992";"p0p13";1930;"83";992;"j"
"IT";"tptincj992";"p0p13";1940;"97.10000000000001";992;"j"
"IT";"tptincj992";"p0p13";1950;"145.8";992;"j"
"IT";"tptincj992";"p0p13";1960;"260.8";992;"j"
"IT";"tptincj992";"p0p13";1970;"432.2";992;"j"
"IT";"tptincj992";"p0p13";1980;"78";992;"j"
"IT";"tptincj992";"p0p13";1981;"81.7";992;"j"
"IT";"tptincj992";"p0p13";1982;"80.5";992;"j"
"IT";"tptincj992";"p0p13";1983;"85.30000000000001";992;"j"
"IT";"tptincj992";"p0p13";1984;"88.30000000000001";992;"j"
"IT";"tptincj992";"p0p13";1985;"93";992;"j"
"IT";"tptincj992";"p0p13";1986;"99.4";992;"j"
"IT";"tptincj992";"p0p13";1987;"52.3";992;"j"
"IT";"tptincj992";"p0p13";1988;"57.2";992;"j"
"IT";"tptincj992";"p0p13";1989;"62.1";992;"j"
"IT";"tptincj992";"p0p13";1990;"39.2";992;"j"
"IT";"tptincj992";"p0p13";1991;"55.8";992;"j"
"IT";"tptincj992";"p0p13";1992;"32.6";992;"j"
"IT";"tptincj992";"p0p13";1993;"40.7";992;"j"
"IT";"tptincj992";"p0p13";1994;"18.8";992;"j"
"IT";"tptincj992";"p0p13";1995;"17.4";992;"j"
"IT";"tptincj992";"p0p13";1996;"12";992;"j"
"IT";"tptincj992";"p0p13";1997;"18.2";992;"j"
"IT";"tptincj992";"p0p13";1998;"9.8";992;"j"
"IT";"tptincj992";"p0p13";1999;"14.4";992;"j"
"IT";"tptincj992";"p0p13";2000;"14";992;"j"
"IT";"tptincj992";"p0p13";2001;"11.8";992;"j"
"IT";"tptincj992";"p0p13";2002;"13.7";992;"j"
"IT";"tptincj992";"p0p13";2003;"9.8";992;"j"
"IT";"tptincj992";"p0p13";2004;"0";992;"j"
"IT";"tptincj992";"p0p13";2005;"15.9";992;"j"
"IT";"tptincj992";"p0p13";2006;"16.7";992;"j"
"IT";"tptincj992";"p0p13";2007;"30.8";992;"j"
"IT";"tptincj992";"p0p13";2008;"21.9";992;"j"
"IT";"tptincj992";"p0p13";2009;"18.7";992;"j"
"IT";"tptincj992";"p0p13";2010;"15.3";992;"j"
"IT";"tptincj992";"p0p13";2011;"14.3";992;"j"
"IT";"tptincj992";"p0p13";2012;"13.1";992;"j"
"IT";"tptincj992";"p0p13";2013;"11.3";992;"j"
